parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,season,team
alpha[1],3.3159485358469842,0.04379995220848142,2.868785829345144,-2.633456848697935,1.734830775613143,3.219769773290752,4.984238258782586,9.357595198070225,4289.917899200307,1.0004541760740822,1999,ATL
alpha[2],1.8475523049835425,0.052307516241799766,3.012132226214674,-4.720323936567508,0.0714309714752327,2.181355496828931,3.7158736987032386,7.41147912067513,3316.040819527704,0.9996101968154608,1999,CHI
alpha[3],-0.4597602692447645,0.11616279903678282,3.6983086687185867,-8.66125688057946,-2.8471030406703512,0.09200017247016246,2.3873115713517783,5.110404881686394,1013.6130063543123,1.0017721582160988,1999,CLE
alpha[4],1.380365940715879,0.06415806297974508,3.023258193428247,-5.402158482225407,-0.3813403931617714,1.7117287460375634,3.3551644750177156,6.984024550279302,2220.4857479779075,1.0007746365241692,1999,DEN
alpha[5],2.5955361069027814,0.04931686466733101,2.9061657209239056,-3.510994936782839,0.9823499107981875,2.7156508296972657,4.2313793150725765,8.456182793016389,3472.5606115964456,0.9994804329196357,1999,GB
alpha[6],4.227153818302103,0.0509929541953324,2.8467440012418064,-0.8254935175372673,2.4146937245580022,3.9043083089009993,5.885265502428391,10.639054236932301,3116.567106359844,0.999256708321668,1999,IND
alpha[7],3.6382113004018812,0.049549300241625176,3.0120702541041133,-1.944432412266474,1.8682873087319143,3.390335477193456,5.272525200778469,10.483014315644205,3695.3462989455393,1.000777228025858,1999,JAX
alpha[8],4.549124198146655,0.0573584785390767,3.0747766296408825,-0.8717784594961895,2.598918064265194,4.1099997695634025,6.356409633471601,11.613253019770555,2873.63693527027,0.9994232049400379,1999,NO
alpha[9],2.429362929040672,0.047980448078245426,2.834618944340631,-3.802138513071488,0.8251632127070572,2.5948196520406785,4.0982000174862385,8.043892090185322,3490.2840426934085,0.9997322613411215,1999,NYJ
alpha[10],2.9941707838352856,0.043232652967460525,2.8578749181980054,-2.7930894915385354,1.3326735415322148,2.991642836749766,4.5974797330289405,9.0439637982857235,4369.811067335035,0.9999921757550493,1999,PHI
alpha[11],1.9321921598096767,0.052073161584050426,2.9056934111849078,-4.363844890588336,0.26500253997652,2.227807160350546,3.71787396632647,7.393346264054151,3113.663563413365,0.9998458514556525,1999,SEA
alpha[12],3.963724518640929,0.05070436120985848,2.869777048944382,-1.4535030457219096,2.2175318927833625,3.730860772003525,5.684958412787618,10.194010453491792,3203.3595301560385,0.9996826715389604,1999,TB
alpha[13],5.4800486117810845,0.09094536947769936,3.247996317029488,0.21975222910270137,3.1950022977396992,4.9348924593902215,7.3533763335013385,13.261362756458173,1275.4688979163,1.0005713111070358,1999,TEN
alpha[14],3.231251830856718,0.04542645832001023,2.9416196921483952,-2.9219150192955436,1.5245585748915498,3.135660442909212,4.9175933732337205,9.535149615768468,4193.293797626413,0.9995580944807952,1999,WAS
alpha[15],2.6364055411405447,0.046730873636872276,2.954644096290793,-3.7547317803163534,0.9720843991792341,2.7756908512302774,4.3216460981543765,8.457386177658389,3997.629577781641,0.9992730658630045,1999,BAL
alpha[16],4.979243180436993,0.07372774355789398,3.0884393410965783,-0.21314809843533683,2.8797447875346913,4.496770495090113,6.819095263677097,11.898506156242352,1754.7541043018107,0.9999072949857271,1999,BUF
alpha[17],4.900894998226517,0.07763785810312811,3.132730198941773,-0.6036337093015793,2.848688094975934,4.480723132836882,6.710084857703846,12.098305965976959,1628.1668059490084,1.000047954847438,1999,CAR
