name	mfr	type	shelf	weight	cups	rating	calories	sugars	protein	fat	sodium	fiber
100% Bran	N	C	3	1	0.33	68.402973	70	6	4	1	130	10
100% Natural Bran	Q	C	3	1	1	33.983679	120	8	3	5	15	2
All-Bran	K	C	3	1	0.33	59.425505	70	5	4	1	260	9
All-Bran with Extra Fiber	K	C	3	1	0.5	93.704912	50	0	4	0	140	14
Almond Delight	R	C	3	1	0.75	34.384843	110	8	2	2	200	1
Apple Cinnamon Cheerios	G	C	1	1	0.75	29.509541	110	10	2	2	180	1.5
Apple Jacks	K	C	2	1	1	33.174094	110	14	2	0	125	1
Basic 4	G	C	3	1.33	0.75	37.038562	130	8	3	2	210	2
Bran Chex	R	C	1	1	0.67	49.120253	90	6	2	1	200	4
Bran Flakes	P	C	3	1	0.67	53.313813	90	5	3	0	210	5
Cap'n'Crunch	Q	C	2	1	0.75	18.042851	120	12	1	2	220	0
Cheerios	G	C	1	1	1.25	50.764999	110	1	6	2	290	2
Cinnamon Toast Crunch	G	C	2	1	0.75	19.823573	120	9	1	3	210	0
Clusters	G	C	3	1	0.5	40.400208	110	7	3	2	140	2
Cocoa Puffs	G	C	2	1	1	22.736446	110	13	1	1	180	0
Corn Chex	R	C	1	1	1	41.445019	110	3	2	0	280	0
Corn Flakes	K	C	1	1	1	45.863324	100	2	2	0	290	1
Corn Pops	K	C	2	1	1	35.782791	110	12	1	0	90	1
Count Chocula	G	C	2	1	1	22.396513	110	13	1	1	180	0
Cracklin' Oat Bran	K	C	3	1	0.5	40.448772	110	7	3	3	140	4
Cream of Wheat (Quick)	N	H	2	1	1	64.533816	100	0	3	0	80	1
Crispix	K	C	3	1	1	46.895644	110	3	2	0	220	1
Crispy Wheat & Raisins	G	C	3	1	0.75	36.176196	100	10	2	1	140	2
Double Chex	R	C	3	1	0.75	44.330856	100	5	2	0	190	1
Froot Loops	K	C	2	1	1	32.207582	110	13	2	1	125	1
Frosted Flakes	K	C	1	1	0.75	31.435973	110	11	1	0	200	1
Frosted Mini-Wheats	K	C	2	1	0.8	58.345141	100	7	3	0	0	3
Fruit & Fibre Dates; Walnuts; and Oats	P	C	3	1.25	0.67	40.917047	120	10	3	2	160	5
Fruitful Bran	K	C	3	1.33	0.67	41.015492	120	12	3	0	240	5
Fruity Pebbles	P	C	2	1	0.75	28.025765	110	12	1	1	135	0
Golden Crisp	P	C	1	1	0.88	35.252444	100	15	2	0	45	0
Golden Grahams	G	C	2	1	0.75	23.804043	110	9	1	1	280	0
Grape Nuts Flakes	P	C	3	1	0.88	52.076897	100	5	3	1	140	3
Grape-Nuts	P	C	3	1	0.25	53.371007	110	3	3	0	170	3
Great Grains Pecan	P	C	3	1	0.33	45.811716	120	4	3	3	75	3
Honey Graham Ohs	Q	C	2	1	1	21.871292	120	11	1	2	220	1
Honey Nut Cheerios	G	C	1	1	0.75	31.072217	110	10	3	1	250	1.5
Honey-comb	P	C	1	1	1.33	28.742414	110	11	1	0	180	0
Just Right Crunchy  Nuggets	K	C	3	1	1	36.523683	110	6	2	1	170	1
Just Right Fruit & Nut	K	C	3	1.3	0.75	36.471512	140	9	3	1	170	2
Kix	G	C	2	1	1.5	39.241114	110	3	2	1	260	0
Life	Q	C	2	1	0.67	45.328074	100	6	4	2	150	2
Lucky Charms	G	C	2	1	1	26.734515	110	12	2	1	180	0
Muesli Raisins; Dates; & Almonds	R	C	3	1	1	37.136863	150	11	4	3	95	3
Muesli Raisins; Peaches; & Pecans	R	C	3	1	1	34.139765	150	11	4	3	150	3
Mueslix Crispy Blend	K	C	3	1.5	0.67	30.313351	160	13	3	2	150	3
Multi-Grain Cheerios	G	C	1	1	1	40.105965	100	6	2	1	220	2
Nut&Honey Crunch	K	C	2	1	0.67	29.924285	120	9	2	1	190	0
Nutri-Grain Almond-Raisin	K	C	3	1.33	0.67	40.69232	140	7	3	2	220	3
Nutri-grain Wheat	K	C	3	1	1	59.642837	90	2	3	0	170	3
Oatmeal Raisin Crisp	G	C	3	1.25	0.5	30.450843	130	10	3	2	170	1.5
Post Nat. Raisin Bran	P	C	3	1.33	0.67	37.840594	120	14	3	1	200	6
Product 19	K	C	3	1	1	41.50354	100	3	3	0	320	1
Puffed Rice	Q	C	3	0.5	1	60.756112	50	0	1	0	0	0
Puffed Wheat	Q	C	3	0.5	1	63.005645	50	0	2	0	0	1
Quaker Oat Squares	Q	C	3	1	0.5	49.511874	100	6	4	1	135	2
Raisin Bran	K	C	2	1.33	0.75	39.259197	120	12	3	1	210	5
Raisin Nut Bran	G	C	3	1	0.5	39.7034	100	8	3	2	140	2.5
Raisin Squares	K	C	3	1	0.5	55.333142	90	6	2	0	0	2
Rice Chex	R	C	1	1	1.13	41.998933	110	2	1	0	240	0
Rice Krispies	K	C	1	1	1	40.560159	110	3	2	0	290	0
Shredded Wheat	N	C	1	0.83	1	68.235885	80	0	2	0	0	3
Shredded Wheat 'n'Bran	N	C	1	1	0.67	74.472949	90	0	3	0	0	4
Shredded Wheat spoon size	N	C	1	1	0.67	72.801787	90	0	3	0	0	3
Smacks	K	C	2	1	0.75	31.230054	110	15	2	1	70	1
Special K	K	C	1	1	1	53.131324	110	3	6	0	230	1
Strawberry Fruit Wheats	N	C	2	1	1	59.363993	90	5	2	0	15	3
Total Corn Flakes	G	C	3	1	1	38.839746	110	3	2	1	200	0
Total Raisin Bran	G	C	3	1.5	1	28.592785	140	14	3	1	190	4
Total Whole Grain	G	C	3	1	1	46.658844	100	3	3	1	200	3
Triples	G	C	3	1	0.75	39.106174	110	3	2	1	250	0
Trix	G	C	2	1	1	27.753301	110	12	1	1	140	0
Wheat Chex	R	C	1	1	0.67	49.787445	100	3	3	1	230	3
Wheaties	G	C	1	1	1	51.592193	100	3	3	1	200	3
Wheaties Honey Gold	G	C	1	1	0.75	36.187559	110	8	2	1	200	1
